[2023-08-03 18:13:18,933] INFO in util: child process calling self.run()
[2023-08-03 18:13:21,898] INFO in util: child process calling self.run()
[2023-08-03 18:14:49,622] INFO in util: process shutting down
[2023-08-03 18:14:49,622] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:14:49,622] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:14:51,643] INFO in util: child process calling self.run()
[2023-08-03 18:14:53,490] INFO in util: child process calling self.run()
[2023-08-03 18:15:41,982] INFO in util: process shutting down
[2023-08-03 18:15:41,982] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:15:41,982] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:15:42,340] INFO in util: child process calling self.run()
[2023-08-03 18:15:55,510] INFO in util: process shutting down
[2023-08-03 18:15:55,510] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:15:55,510] INFO in util: calling join() for process Process-1
[2023-08-03 18:15:55,517] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:15:56,127] INFO in util: child process calling self.run()
[2023-08-03 18:15:56,533] INFO in util: child process calling self.run()
[2023-08-03 18:16:06,704] INFO in util: process shutting down
[2023-08-03 18:16:06,704] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:16:06,704] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:16:08,527] INFO in util: child process calling self.run()
[2023-08-03 18:16:08,902] INFO in util: child process calling self.run()
[2023-08-03 18:16:35,048] INFO in util: process shutting down
[2023-08-03 18:16:35,049] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:16:35,049] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:16:36,917] INFO in util: process shutting down
[2023-08-03 18:16:36,917] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:16:36,917] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:17:27,049] INFO in util: process shutting down
[2023-08-03 18:17:27,049] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:17:27,049] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:17:27,424] INFO in util: process shutting down
[2023-08-03 18:17:27,424] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:17:27,424] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:31:56,369] INFO in util: child process calling self.run()
[2023-08-03 18:31:58,140] INFO in util: child process calling self.run()
[2023-08-03 18:33:08,240] INFO in util: process shutting down
[2023-08-03 18:33:08,240] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:33:08,240] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:33:10,048] INFO in util: child process calling self.run()
[2023-08-03 18:33:17,344] INFO in util: process shutting down
[2023-08-03 18:33:17,344] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:33:17,344] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:33:19,729] INFO in util: child process calling self.run()
[2023-08-03 18:33:21,767] INFO in util: child process calling self.run()
[2023-08-03 18:33:55,095] INFO in util: process shutting down
[2023-08-03 18:33:55,095] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:33:55,096] INFO in util: calling join() for process Process-1
[2023-08-03 18:33:55,184] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:33:58,360] INFO in util: process shutting down
[2023-08-03 18:33:58,360] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:33:58,360] INFO in util: calling join() for process Process-1
[2023-08-03 18:33:58,362] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:34:00,345] INFO in util: child process calling self.run()
[2023-08-03 18:34:05,036] INFO in util: child process calling self.run()
[2023-08-03 18:35:12,893] INFO in util: process shutting down
[2023-08-03 18:35:12,894] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:35:12,894] INFO in util: calling join() for process Process-1
[2023-08-03 18:35:12,908] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:35:13,444] INFO in util: child process calling self.run()
[2023-08-03 18:35:14,871] INFO in util: process shutting down
[2023-08-03 18:35:14,871] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:35:14,871] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:35:15,401] INFO in util: child process calling self.run()
[2023-08-03 18:35:15,984] INFO in util: child process calling self.run()
[2023-08-03 18:36:04,359] INFO in util: process shutting down
